title,link,authors
Reaching readers: assessing readers' impressions of science news,https://journals.sagepub.com/doi/abs/10.1177/1075547095016004004,"J Steinke - Science Communication, 1995 - journals.sagepub.com"
Generating scientific definitions with controllable complexity,https://aclanthology.org/2022.acl-long.569/,"T August, K Reinecke, NA Smith - … of the 60th Annual Meeting of …, 2022 - aclanthology.org"
Post-publication review: The role of science news outlets and social media,https://hal.science/hal-04695180/,"DE Irawan, O Pourret, L Besançon, SHS Herho… - 2024 - hal.science"
aedFaCT: Scientific Fact-Checking Made Easier via Semi-Automatic Discovery of Relevant Expert Opinions,https://arxiv.org/abs/2305.07796,"E Altuncu, JRC Nurse, M Bagriacik, S Kaleba… - arXiv preprint arXiv …, 2023 - arxiv.org"
[PDF][PDF] Exploiting Dynamic Resource Allocation,https://www.researchgate.net/profile/Sujithra_Muthuswamy/publication/301887107_Internet_of_Things_-_An_Overview/links/5b07a9e80f7e9b1ed7f1ec20/Internet-of-Things-An-Overview.pdf#page=270,"GS Geethamani, M Mayilvaganan - World Scientific News, 2016 - researchgate.net"
Journal Name Extraction from Japanese Scientific News Articles,https://ieeexplore.ieee.org/abstract/document/8659765/,"M Kikuchi, M Yoshida… - 2018 Asia-Pacific Signal …, 2018 - ieeexplore.ieee.org"
Genres of science news in the Nigerian press,https://www.scielo.org.za/scielo.php?pid=S0038-23532016000300006&script=sci_arttext,"B Falade - South African Journal of Science, 2016 - scielo.org.za"
Embargoes and science news,https://journals.sagepub.com/doi/abs/10.1177/107769900308000410,"V Kiernan - Journalism & Mass Communication Quarterly, 2003 - journals.sagepub.com"
Llm-collaboration on automatic science journalism for the general audience,https://arxiv.org/abs/2407.09756,"G Jiang, X Shi, Q Luo - arXiv preprint arXiv:2407.09756, 2024 - arxiv.org"
[PDF][PDF] SCIENTIFIC NEWS COGNITIVE PROCESSING SPEED AMONG CHILDREN EXPOSED TO FETAL ALCOHOL,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=d081ba62e5dc164044c680515c61558a9497b838,"MJ Burden, SW Jacobson, JL Jacobson - 2006 - Citeseer"
It's always April fools' day!: On the difficulty of social network misinformation classification via propagation features,https://ieeexplore.ieee.org/abstract/document/8267653/,"M Conti, D Lain, R Lazzeretti… - … IEEE Workshop on …, 2017 - ieeexplore.ieee.org"
"Visualization aesthetics bias trust in science, news, and social media",https://osf.io/preprints/psyarxiv/dnr9s/,"C Lin, MA Thornton - 2021 - osf.io"
Science news in a closed and an open media market: A comparative content analysis of print and online science news in Denmark and the United Kingdom,https://journals.sagepub.com/doi/abs/10.1177/0267323116674110,"GL Vestergaard, KH Nielsen - European Journal of …, 2016 - journals.sagepub.com"
"[PDF][PDF] 2. Curating, transforming, constructing science news: The newsmaking routines of Science Media Center Germany",https://library.oapen.org/bitstream/handle/20.500.12657/87819/1/9783110776546.pdf#page=48,"I Broer - The Science-Media Interface, 2023 - library.oapen.org"
[CITATION][C] World Scientific News,N/A,K Lesiak
"[PDF][PDF] Center for Building Science News, Summer 1994",https://escholarship.org/content/qt7fm7t4mq/qt7fm7t4mq.pdf,E Mills - 1994 - escholarship.org
